heat_degree_hours,dehydration_pct_hours,fatigue_hours,burden,intervention_cost,info_cost,total_score,peak_true_core_c,peak_true_deficit,final_fatigue,rmse_core_c,bias_core_c,rmse_deficit,coverage95_core,mean_core_sd,n_verify,cooling_hours,n_human_check,n_water_fix,n_commands_issued,n_rejected,n_failed,n_tool_calls,detection_latency_h,false_cooling_hours,scenario,seed,agent,days,decide_every,sensor_noise_mult,verify_price
1.168690013721223,0.0,1.32948318619565,1.9663799254386132,1.21,0.0,3.176379925438613,40.01075825317295,0.008497814703350474,0.0,0.12288823748709393,0.001915243920323179,0.0017967547998687559,0.9711538461538461,0.13551442307692307,2,11.0,1,0,24,0,0,99,0.25,5.5,fever_hot,10,bounded_react,1,4,1.0,0.0
1.5674718719467933,0.0,3.3483943691002365,3.576508493406935,1.15,0.0,4.726508493406935,40.025428573303486,0.00890926625867323,0.1396095295707367,0.167444051677481,-0.018912660004610338,0.0018521728907444196,0.9615384615384616,0.13714038461538464,1,10.0,1,0,24,0,0,96,1.25,4.0,fever_hot,11,bounded_react,1,4,1.0,0.0
1.6746750206245355,0.0,3.7157405468264093,3.904119348720381,1.3900000000000001,0.0,5.294119348720381,40.04492466440464,0.00843906164596955,0.11357126134349503,0.1378930260636439,-0.006390753198745645,0.0025534065579170487,0.9807692307692307,0.13337500000000002,2,14.0,1,0,24,0,0,99,1.0,7.75,fever_hot,12,bounded_react,1,4,1.0,0.0
1.3517363375596538,0.0,2.003437044241382,2.5537985641044827,1.27,0.0,3.8237985641044827,39.83018709937351,0.008418041481037456,0.0,0.1100689569119147,0.01625961924007823,0.0019265914038480653,0.9903846153846154,0.1336326923076923,0,12.0,1,0,24,0,0,95,0.5,6.75,fever_hot,13,bounded_react,1,4,1.0,0.0
1.4974850093925198,0.0,2.7572582020264207,3.1518399306083724,1.27,0.0,4.421839930608373,40.03221665367389,0.008518250384685499,0.10111675516588611,0.14492148184106307,-0.00026727162212863547,0.0014514788738021107,0.9807692307692307,0.13622596153846153,0,12.0,1,0,24,0,0,95,0.75,6.5,fever_hot,14,bounded_react,1,4,1.0,0.0
1.3568807462970902,0.0,2.1463794282094293,2.6447084032227477,1.15,0.0,3.7947084032227476,39.91547399841946,0.008164987336844034,0.0,0.11530889963975904,0.03177413980944594,0.0016911054849244054,0.9807692307692307,0.14154038461538462,0,10.0,1,0,24,0,0,95,1.0,4.75,fever_hot,15,bounded_react,1,4,1.0,0.0
1.1439048225270234,0.0,1.1681785665505533,1.8448119624573553,1.15,0.0,2.994811962457355,39.912275021895816,0.009270388926712305,0.0,0.1215945978454427,0.009969562048762367,0.0021119937505247066,0.9711538461538461,0.1363076923076923,2,10.0,1,0,24,0,0,98,0.25,4.5,fever_hot,16,bounded_react,1,4,1.0,0.0
1.0015827496892005,0.0,0.6895920814078481,1.4153379985339094,1.15,0.0,2.5653379985339093,40.01516455241689,0.009246844029494897,0.0,0.10784760070798774,0.01329960407375507,0.002161343059393973,0.9903846153846154,0.13735961538461539,1,10.0,1,0,24,0,0,96,0.0,4.75,fever_hot,17,bounded_react,1,4,1.0,0.0
1.3683293368127973,0.0,2.444817924744294,2.835220091659374,1.3900000000000001,0.0,4.225220091659374,39.85560587518074,0.007775383170053499,0.0,0.13577128228329685,-0.0037920431265531327,0.0013024675110033942,0.9807692307692307,0.1349548076923077,0,14.0,1,0,24,0,0,92,0.5,8.25,fever_hot,18,bounded_react,1,4,1.0,0.0
1.148237520867724,0.0,1.4273268089823339,2.004633606257124,1.21,0.0,3.214633606257124,39.90349728160543,0.0077471580744502035,0.0,0.10365389023168502,0.02007332410722223,0.0013739925078833995,0.9807692307692307,0.13074134615384617,2,11.0,1,0,24,0,1,98,0.25,5.75,fever_hot,19,bounded_react,1,4,1.0,0.0
1.2456737742374422,0.0,1.6268607656636815,2.221790233635651,1.21,0.0,3.431790233635651,39.914766352871204,0.009260893418556503,0.0,0.09881853520876266,0.017539606508886384,0.001826891099217429,0.9903846153846154,0.13601538461538462,0,11.0,1,0,24,0,1,95,0.5,5.75,fever_hot,20,bounded_react,1,4,1.0,0.0
1.3596943259483076,0.0,2.0522797538456707,2.5910621782557097,1.21,0.0,3.8010621782557097,39.898363381998806,0.009279881222935127,0.0,0.1041670875753942,0.0016767551042919083,0.0019580769537098685,0.9903846153846154,0.1374692307692308,0,11.0,1,0,24,0,0,93,0.0,5.75,fever_hot,21,bounded_react,1,4,1.0,0.0
